iter	Passed	Remaining
0	138	138048
1	139	69597
2	140	46676
3	141	35204
4	142	28288
5	142	23678
6	143	20397
7	144	17953
8	145	16027
9	147	14577
10	148	13365
11	149	12290
12	150	11414
13	151	10646
14	151	9977
15	152	9386
16	153	8886
17	154	8427
18	155	8026
19	156	7652
20	156	7314
21	157	7005
22	158	6723
23	159	6466
24	159	6236
25	160	6018
26	161	5819
27	163	5676
28	164	5511
29	165	5351
30	166	5202
31	167	5057
32	168	4927
33	169	4804
34	169	4685
35	170	4572
36	171	4470
37	172	4366
38	173	4272
39	174	4179
40	175	4096
41	176	4014
42	177	3953
43	179	3890
44	180	3820
45	180	3750
46	181	3686
47	182	3624
48	183	3563
49	184	3504
50	185	3446
51	186	3392
52	186	3338
53	187	3289
54	188	3241
55	189	3193
56	190	3147
57	191	3103
58	192	3064
59	193	3038
60	195	3002
61	195	2963
62	196	2926
63	197	2892
64	198	2857
65	199	2824
66	200	2793
67	201	2763
68	202	2733
69	203	2702
70	204	2672
71	205	2642
72	205	2613
73	206	2587
74	208	2570
75	209	2548
76	210	2524
77	211	2499
78	212	2476
79	213	2453
80	214	2430
81	215	2407
82	215	2385
83	216	2364
84	217	2342
85	218	2322
86	219	2303
87	220	2283
88	221	2266
89	222	2250
90	224	2238
91	225	2223
92	226	2207
93	227	2190
94	228	2173
95	229	2157
96	229	2140
97	230	2125
98	231	2108
99	232	2092
100	233	2077
101	234	2063
102	235	2048
103	236	2034
104	237	2020
105	238	2012
106	239	2001
107	240	1987
108	241	1974
109	242	1962
110	243	1950
111	244	1937
112	245	1925
113	246	1913
114	247	1900
115	247	1888
116	248	1876
117	249	1865
118	250	1854
119	251	1843
120	252	1832
121	253	1825
122	254	1817
123	255	1808
124	256	1797
125	257	1787
126	258	1777
127	259	1767
128	260	1758
129	261	1748
130	262	1739
131	263	1729
132	264	1721
133	264	1712
134	265	1703
135	266	1694
136	267	1685
137	268	1680
138	270	1673
139	271	1665
140	272	1657
141	272	1649
142	273	1638
143	274	1630
144	275	1623
145	276	1616
146	277	1609
147	278	1601
148	278	1593
149	279	1586
150	280	1578
151	281	1569
152	282	1563
153	283	1558
154	284	1553
155	285	1546
156	286	1539
157	287	1533
158	288	1527
159	289	1520
160	290	1511
161	290	1502
162	291	1496
163	292	1489
164	292	1482
165	293	1475
166	294	1469
167	295	1463
168	296	1457
169	297	1451
170	298	1447
171	299	1442
172	300	1437
173	301	1430
174	302	1425
175	303	1420
176	304	1415
177	305	1409
178	306	1404
179	307	1401
180	308	1395
181	309	1390
182	310	1385
183	311	1380
184	311	1373
185	312	1368
186	314	1365
187	315	1364
188	316	1359
189	317	1353
190	318	1348
191	319	1343
192	319	1337
193	320	1332
194	321	1326
195	321	1320
196	322	1314
197	323	1309
198	323	1303
199	324	1297
200	325	1293
201	326	1289
202	327	1285
203	328	1280
204	329	1279
205	330	1274
206	331	1270
207	332	1266
